,,Ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RDI 4,700 mg",RDI 25-38g,,RDI 2400 mg,
,,Asparagus,Artichoke,Avocado,Bean,Beet,Broccoli,Brussel Sprouts,Cabbage,Carrot,Cauliflower,Celery,Coconut Oil,Egg,Garlic,Ginger,Honey,Kale,Lentil,"Nut, nut butter","Oil, butter",Onion,Parsley,"Pepper, Bell","Pepper, Hot",Potato,Spicy Powder,Spinach,Soy,Tomato,Turmeric (Curcumin),Turnip,Potassium,Fiber,Vitamin K,Sodium,High Calorie Content
Cancers,Brain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Breast,,,,,,P,P,P,,P,,,,,,,P,,,,,P,,,,,P,,,,P,,,,,
,Colon,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,A,,,
,Gastric,,,,,,P,P,P,,P,,,,P,,,P,,,,,P,,,,,P,,,,P,,,,,
,head &  neck,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,
,Leukemia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lung,,,,,,P,P,P,,P,,,,,,,P,,,,,P,,,,,P,,,,P,,,,,
,pancreas,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,
,Prostate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Testicular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comorbitities,CVD (depends on drug),,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,P,,P,500|1000,
,Diabetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hypertension,,P,,,P,,,P,P,,P,,,,,,P,,,,,P,,,,,P,,,P,P,P,,,500|1000,
Symptoms,Constipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,
,Cough,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,
,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,A,,,
,Difficulty chewing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Difficulty to swallow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dry mouth ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dry skin,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fatigue,,,P,,,P,,,,,,,,,,,P,,,,,P,,,,,P,,,,,,,,,
,Inflammation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P
,Loss of or change of taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mouth & throat sore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60|120,,,,,,,
,Nausea,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,
,Sleeping problems ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stomach Acidity,,,,,,,,,,,,,,4|8,,,,,,,30|60,,,5|5,,1|2,,,60|120,,,,,,,
,Weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A
,Weight loss,,,P,P,,,,,,,,,P,,,,,,,P,,,,,,,,,,,,,,,,P
