,,Ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RDI 4,700 mg",RDI 25-38g,,Adequate intake (not RDI) 90-120 mcg,RDI 2400 mg,
,,Asparagus,Artichokes,Avocado,Bean,Beets,Broccoli,Brussels Sprouts,Cabbage,Carrot,Cauliflower,Celery,Coconut Oil,Egg,Flax,Garlic,Green Beans,Ginger,Honey,Kale,Lentil,nuts,nut butter,Oil,Butter,Onion,Parsley,"Peppers, Bell","Peppers, Hot",Potato,Spicy Powders,Spinach,Zucchini,Butternut,Acorn,Delicata,Soy,Tomato,Turmeric,Curcumin,Turnips,Walnut,Potassium,Total Fiber,Insoluble Fiber,Vitamin K,Sodium,cals
Cancers,Brain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Breast,,,,,,P,P,P,,P,,,,,,,,,P,,,,,,,P,,,,,P,,,,,,,,,P,,,,,,,
,Colon,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,12,,,
,Gastric,,,,,,P,P,P,,P,,,,,P,,,,P,,,,,,,P,,,,,P,,,,,,,,,P,,,,,,,
,head &  neck,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leukemia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lung,,,,,,P,P,P,,P,,,,,,,,,P,,,,,,,P,,,,,P,,,,,,,,,P,,,,,,,
,pancreas,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prostate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Testicular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comorbitities,CVD (depends on drug),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,P,,,1000,,,90,500|1000,
,Diabetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hypertension,,P,,,P,,,P,P,,P,,,,,,,,P,,,,,,,P,,,,,P,,,,,,,P,P,P,,1000,,,,500|1000,
Symptoms,Constipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,12,,,
,Cough,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,P,,,,,,,,,,,,,,,,,,
,Diarrhea,P,,,,,,,,P,,,,,,,P,P,,,,,,,,,,,,P,,,P,,,,,,,,,,,,10|15,,,
,Difficulty chewing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Difficulty to swallow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dry mouth ,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dry skin,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,
,Fatigue,,,P,,,P,,,,,,,,,,,,,P,,,,,,,P,P,,,,P,P,,,,,P,,,,,,,,,,
,Inflammation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500
,Loss of or change of taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mouth & throat sore,,,,,,,,,,,,,,,,,,,,,,,,,,,,5|5,,1|2,,,,,,,60|120,,,,,,,,,,
,Nausea,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sleeping problems ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stomach Acidity,,,,,,,,,,,,,,,4|8,,,,,,,,,,30|60,,,5|5,,1|2,,,,,,,60|120,,,,,,,,,,
,Weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500|500
,Weight loss,,,P,P,,,,,,,,,P,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,500
Chemo Drugs,Docetaxel (Taxotere),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,
,Carboplatin (Paraplatin),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,
,Trastuzumab (Herceptin),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pertuzumab (Perjeta),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medications,Olanzapine (Zyprexa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prochlorperazine (Compazine),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ondanstetron (Zofran),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ioperamide (Imodium),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10|15,,,
